Geneid	SRR15622370	SRR15622371	SRR15622372	SRR15622373	SRR15622374	SRR15622375	SRR15622376	SRR15622377	SRR15622378	SRR15622379	SRR15622380	SRR15622381	SRR15622382	SRR15622383	SRR15622384	SRR16842417	SRR16842418	SRR16842419	SRR16842420	SRR16842425	SRR16842426	SRR16894644	SRR16894645	SRR16894646	SRR16894647	SRR16894648	SRR16894649	SRR16894650	SRR16894651	SRR16894652	SRR16894653	SRR16894654	SRR16894655	SRR16894656	SRR16894657	SRR16894658	SRR16894659	SRR16894660	SRR16894661	SRR16894662	SRR16894663	SRR11480883	SRR11480884	SRR11480885	SRR11480886	SRR11480887	SRR11480888	SRR11480889	SRR11480890	SRR11480891	SRR11480892	SRR11480893	SRR11480894	SRR11480895	SRR11480896	SRR11480897	SRR11480898	SRR11480899	SRR11480900	SRR11480901	SRR11480902	SRR11480903	SRR11480904	SRR11480905	SRR11480906	SRR11940011	SRR11940012	SRR11940013	SRR11940014	SRR11940015	SRR11940016	SRR11940017	SRR11940018	SRR11940019	SRR11940020	SRR11940021	SRR11940022	SRR11940023	SRR11940024	SRR11940025	SRR12488723	SRR12488724	SRR12488725	SRR12488726	SRR12488727	SRR12488728	SRR12488729	SRR12488730	SRR12488731	SRR12488732	SRR12488733	SRR12488734	SRR12488735	SRR12488736	SRR12488737	SRR13959796	SRR13959797	SRR13959798	SRR13959799	SRR13959800
BnaA01G0000100ZS	2	2	0	2	0	0	3	0	1	0	0	1	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
BnaA01G0000200ZS	6	0	4	2	0	0	2	0	4	3	1	4	4	3	1	6	0	0	0	0	0	2	2	4	1	0	6	0	0	12	1	1	2	3	4	0	0	0	0	1	3	0	2	0	1	1	1	2	1	0	2	2	1	1	0	0	0	1	1	16	1	0	0	2	4	1	2	3	0	1	1	1	1	2	1	0	2	2	2	1	3	0	1	0	2	2	0	0	0	0	1	0	0	0	0	10	8	5	16	9
BnaA01G0000300ZS	0	5	5	0	0	3	4	7	1	0	0	0	0	1	1	1	0	0	0	2	0	0	7	0	5	3	7	0	2	4	1	4	3	5	9	10	4	0	0	2	5	2	0	1	1	1	2	0	22	23	33	41	0	31	54	24	22	26	11	15	21	1	2	0	0	12	1	2	4	6	0	4	1	3	16	4	1	1	0	1	21	30	36	21	5	10	21	31	47	33	30	7	12	26	24	9	16	5	9	2
BnaA01G0000400ZS	0	4	3	1	2	1	0	0	0	1	1	0	0	0	0	2	0	0	0	2	1	3	0	3	1	0	0	0	0	0	0	0	1	1	2	3	0	1	0	0	7	0	1	2	1	2	4	0	1	0	0	0	2	1	0	0	0	1	1	0	3	1	0	3	8	3	3	4	3	4	5	3	3	8	1	12	3	2	1	5	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	24	24	18	19	2
BnaA01G0000500ZS	20	13	5	18	19	2	9	30	4	2	2	24	18	19	12	36	25	13	10	34	19	9	4	4	6	4	1	5	10	35	5	1	0	0	0	17	5	1	2	3	1	16	18	25	6	11	21	12	1	3	0	1	24	0	0	0	3	3	3	33	0	6	7	38	37	21	1	11	14	4	8	12	0	10	13	12	12	1	8	0	6	2	5	14	12	8	11	7	3	14	11	13	18	21	1	71	79	31	35	51
BnaA01G0000600ZS	1	2	3	2	2	1	0	1	5	2	1	1	0	0	0	0	0	1	0	2	0	4	1	0	3	3	1	4	1	0	3	0	4	2	1	0	0	1	5	6	1	0	1	0	1	4	0	4	2	1	5	2	5	4	1	3	2	3	4	1	4	0	2	2	2	3	0	2	2	0	1	1	0	1	3	5	2	2	0	1	0	1	2	2	0	0	1	1	2	0	0	0	0	1	1	3	2	3	0	2
BnaA01G0000700ZS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	5	0	0	0	1	0	2	0	0	0	2	0	5	0	1	1	1	0	0	0	0	1	0	0	0	0	0	1	1	1	0	1	1	0	3	3	3	0	0	1	0	0	2	4	0	0	0	2	0	1	0	0	2	1	1	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	2	1	0	0	5	15	11	9	14
BnaA01G0000800ZS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	3	0	0	0	1	1	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
BnaA01G0000900ZS	1	1	1	1	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	2	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	5	0	2	1	2	0	0	0	3	0	0	1	0	2	4	0	0	1	0	0	0	0	1	1	1	0	0	0	1	1	4	0	0	2	1
BnaA01G0001000ZS	2	4	2	5	4	0	4	6	2	3	1	0	0	5	0	6	13	8	14	3	6	4	1	6	2	4	7	2	6	9	1	1	7	0	8	10	3	8	3	1	2	6	3	3	2	1	6	1	1	2	2	4	3	2	8	1	2	3	3	3	1	4	4	0	10	3	4	24	12	6	4	7	6	12	12	7	23	1	11	4	4	7	3	4	2	1	2	3	3	4	5	3	3	1	3	42	66	41	59	26
